metric,value,unit,measured_at,notes
gate_fast_time_run1,17.05,s,2026-07-21,
gate_fast_time_run2,17.27,s,2026-07-21,
gate_fast_time_run3,16.74,s,2026-07-21,
gate_fast_time_median,17.05,s,2026-07-21,median of 16.74/17.05/17.27
gate_full_time_run1,28.46,s,2026-07-21,SKIP_PRECOMMIT=1
gate_full_time_run2,27.13,s,2026-07-21,SKIP_PRECOMMIT=1
gate_full_time_run3,24.53,s,2026-07-21,SKIP_PRECOMMIT=1
gate_full_time_median,27.13,s,2026-07-21,median of 24.53/27.13/28.46
ssh_no_timeout_count,33,calls,2026-07-21,rg "ssh " core/ -g "*.sh" | rg -v "ConnectTimeout|timeout|BatchMode" | wc -l
ci_execution_time_median,57,s,2026-07-21,median of 4 non-skipped completed runs (9/12/102/502s); 6 skipped runs excluded
inline_python3_count,104,calls,2026-07-21,rg "python3 -c" core/ | wc -l; was 105 before Wave 1 B (yaml_read.sh consolidated)
shell_loc,14788,LOC,2026-07-21,cloc core/ --include-lang=Bourne Shell (104 files)
python_loc,1260,LOC,2026-07-21,cloc core/internal/scripts/ core/modules/ --include-lang=Python (7 files)
r4_violations_count,8,violations,2026-07-21,rg "pytest\.skip\(.*not available" tests/ | wc -l
r5_negative_pairs_missing,0,pairs,2026-07-21,after Wave 1 C: all 3 negative pairs created (litellm_pg/module_schema_d4/env_shared_consistency)
