file,line,snippet,call_type,consolidation_wave
"core/modules/status-page/docker-compose.base.yml",56,"      test: [""CMD-SHELL"", ""python3 -c \""import urllib.request; urllib.request.urlopen('http://localhost:8080/health')\"" || exit 1""]",python3 -c,W5
"core/modules/postgres/hooks/on-project-deploy.sh",43,"    db_name=""$(python3 -c """,python3 -c,W5
"core/internal/scaffold/context-init.sh",322,"    py_output=""$(python3 -c ""${python_script}"" \",python3 -c,W5
"core/internal/scaffold/adopt-project.sh",404,"    if [[ ""$parse_ok"" == false ]] && command -v python3 &>/dev/null && python3 -c ""import yaml"" 2>/dev/null; then",python3 -c,W5
"core/internal/scaffold/adopt-project.sh",405,"        resolved_content=""$(python3 -c """,python3 -c,W5
"core/internal/scaffold/adopt-project.sh",433,"    analysis=""$(echo ""$resolved_content"" | python3 -c """,python3 -c,W5
"core/internal/scaffold/adopt-project.sh",675,"    elif command -v python3 &>/dev/null && python3 -c ""import yaml"" 2>/dev/null; then",python3 -c,W5
"core/internal/scaffold/add-project.sh",719,"    elif command -v python3 &>/dev/null && python3 -c ""import yaml"" 2>/dev/null; then",python3 -c,W5
"core/modules/status-page/Dockerfile",24,"    CMD python3 -c ""import urllib.request; urllib.request.urlopen('http://localhost:8080/health')"" || exit 1",python3 -c,W5
"core/internal/scaffold/remove-project.sh",173,"            py_result=""$(python3 -c """,python3 -c,W5
"core/internal/scaffold/remove-project.sh",221,"    elif command -v python3 &>/dev/null && python3 -c ""import yaml"" 2>/dev/null; then",python3 -c,W5
"core/entrypoints/bootstrap.sh",122,"    OWNER_KEY=$(python3 -c ""import yaml; f=open('${NODE_YAML}'); d=yaml.safe_load(f); print(d.get('node',{}).get('owner_key',''))"" 2>/dev/null) || true",python3 -c,W5
"core/entrypoints/bootstrap.sh",140,"    CI_DEPLOY_KEY=$(python3 -c ""import yaml; f=open('${NODE_YAML}'); d=yaml.safe_load(f); print(d.get('node',{}).get('ci_deploy_key',''))"" 2>/dev/null) || true",python3 -c,W5
"core/internal/scaffold/add-vhost.sh",267,"    if command -v python3 &>/dev/null && python3 -c ""import yaml"" 2>/dev/null; then",python3 -c,W5
"core/internal/scaffold/add-vhost.sh",570,"    domains=""$(echo ""$@"" | python3 -c """,python3 -c,W5
"core/internal/scaffold/add-vhost.sh",801,"        proj_name=""$(echo ""$entry"" | python3 -c ""import sys,json; print(json.loads(sys.stdin.read())['name'])"" 2>/dev/null || echo """")""",python3 -c,W5
"core/internal/scaffold/add-vhost.sh",802,"        proj_domain=""$(echo ""$entry"" | python3 -c ""import sys,json; print(json.loads(sys.stdin.read())['domain'])"" 2>/dev/null || echo """")""",python3 -c,W5
"core/modules/monitoring/hooks/on-project-deploy.sh",51,"    project_config=""$(python3 -c """,python3 -c,W5
"core/modules/monitoring/hooks/on-project-deploy.sh",59,"    has_monitoring=""$(echo ""$project_config"" | python3 -c """,python3 -c,W5
"core/modules/monitoring/hooks/on-project-deploy.sh",70,"    PROJECT_TYPE=""$(echo ""$project_config"" | python3 -c """,python3 -c,W5
"core/modules/monitoring/hooks/on-project-deploy.sh",81,"        l1_config=""$(python3 -c """,python3 -c,W5
"core/modules/monitoring/hooks/on-project-deploy.sh",98,"        l2_config=""$(python3 -c """,python3 -c,W5
