metric,run,value,unit,timestamp
shell_loc_top3,baseline,4114,lines,2026-07-22
deploy_modules_loc,baseline,1664,lines,2026-07-22
converge_loc,baseline,1149,lines,2026-07-22
node_lifecycle_loc,baseline,1301,lines,2026-07-22
makefile_loc,baseline,747,lines,2026-07-22
python_loc_internal_bootstrap,baseline,415,lines,2026-07-22
inline_python3_c_top3_raw,baseline,22,count,2026-07-22
inline_pyeof_top3_raw,baseline,9,count,2026-07-22
pytest_test_count,baseline,33,tests,2026-07-22
pytest_run1_time,baseline,3.07,seconds,2026-07-22
pytest_run2_time,baseline,2.72,seconds,2026-07-22
pytest_run3_time,baseline,3.37,seconds,2026-07-22
pytest_avg_time,baseline,3.05,seconds,2026-07-22
pytest_test_count,post_w4_e5,51,tests,2026-07-22
pytest_new_edge_cases,post_w4_e5,18,tests,2026-07-22
pytest_run1_time,post_w4_e5,4.17,seconds,2026-07-22
pytest_run2_time,post_w4_e5,3.62,seconds,2026-07-22
pytest_run3_time,post_w4_e5,3.66,seconds,2026-07-22
pytest_avg_time,post_w4_e5,3.82,seconds,2026-07-22
trap_test_markers_total,post_w4_e5,40,count,2026-07-22
test_deploy_modules_count,post_w4_e5,16,tests,2026-07-22
test_node_lifecycle_static_count,post_w4_e5,11,tests,2026-07-22
test_converge_exit_count,post_w4_e5,9,tests,2026-07-22
test_bootstrap_auto_count,post_w4_e5,15,tests,2026-07-22
